TeamName,TeamSlug,Seed,FGM,FGA,3PM,3PA,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,TeamScore,OppScore,WinPct
Miami (OH),miami-oh,11,29.4,58.7,9,24.5,16.2,23.2,6.1,23.6,13.7,9.5,6.7,2.5,15.5,84,77.1,0.9
SMU,southern-methodist,11,29.7,62.4,9.2,24.5,10.5,15.5,10.9,22.6,15.9,10.2,6.1,3.4,16.6,79.1,78.2,0.4
Akron,akron,12,30,60.7,11,27.8,14.6,19.8,9.6,25.9,16.3,10.5,7.3,2.7,15.6,85.6,71.8,1
Hofstra,hofstra,13,24.3,56.9,9,26,15.2,20.4,10.5,26.2,10.6,8.1,4.9,3.6,16.7,72.8,59.6,0.9
Wright State,wright-state,14,29,58.4,7,18.2,17.7,23.6,9.4,22.9,13.7,11.4,6.1,3.8,16.1,82.7,76.4,0.8
Tennessee State,tennessee-state,15,27.3,59.7,6.7,18.1,18.2,22,11.1,22.5,11.9,10.3,8.6,3.5,17.1,79.5,65.7,0.9
UMBC,maryland-baltimore-county,16,27.7,57.3,8.3,21.8,16.1,19.7,7.7,27.6,11,7.3,5.6,2.3,13.5,79.8,61.6,1
Howard,howard,16,27.9,56.3,7.5,19.3,20.9,27.8,10.1,22.7,18.5,12.4,8.5,4.4,17.3,84.2,65.2,0.9
LIU,long-island-university,16,27.3,52.9,5.3,14.7,14.6,21.1,7.8,22.1,13.5,11.2,8.1,5.3,17.4,74.5,67.4,0.8
Penn,pennsylvania,14,26.5,60.5,8.1,21.2,14.5,20.8,8.9,23.7,13.7,9.9,8.4,2.9,16.4,75.6,69.5,0.9
NC State,north-carolina-state,11,26.6,60.3,8.8,24.8,16.8,21.3,8.5,20,12.6,8.3,7,4.1,16.9,78.8,85.9,0.3
Lehigh,lehigh,16,26.8,53.3,7.2,18.1,13.2,17.8,5.8,22.6,15.6,10,5.5,3.2,14.5,74,71.3,0.8
